state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
ILLINOIS,Lake Land College,Lake Land College main,5241,0,0,0,0,0,0,4,0,4,0,0
ILLINOIS,Lewis University,Lewis University main,6679,2,0,1,0,0,1,20,2,18,0,0
ILLINOIS,Lincoln Land Community College,Lincoln Land Community College main,6447,1,0,0,0,0,1,7,0,7,0,0
ILLINOIS,Loyola University of Chicago,Loyola University of Chicago main,16437,26,0,15,0,10,1,112,10,101,1,0
ILLINOIS,McHenry County College,McHenry County College main,6561,0,0,0,0,0,0,15,0,15,0,0
ILLINOIS,Millikin University,Millikin University main,2152,0,0,0,0,0,0,17,0,17,0,0
ILLINOIS,Moraine Valley Community College,Moraine Valley Community College main,15016,0,0,0,0,0,0,43,0,43,0,0
ILLINOIS,Morton College,Morton College main,4592,0,0,0,0,0,0,5,1,3,1,0
ILLINOIS,Northeastern Illinois University,Northeastern Illinois University main,9891,0,0,0,0,0,0,21,0,20,1,0
ILLINOIS,Northern Illinois University,Northern Illinois University main,20130,13,0,6,0,2,5,141,8,131,2,1
ILLINOIS,Oakton Community College,Oakton Community College main,9864,0,0,0,0,0,0,12,1,11,0,0
ILLINOIS,Parkland College,Parkland College main,8147,0,0,0,0,0,0,15,1,14,0,0
ILLINOIS,Prairie State College,Prairie State College main,4699,1,0,0,0,0,1,10,0,10,0,0
ILLINOIS,Rend Lake College,Rend Lake College main,2303,0,0,0,0,0,0,1,0,1,0,0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Carbondale,17292,11,0,2,0,0,9,149,16,131,2,1
ILLINOIS,Southern Illinois University:,Southern Illinois University: Edwardsville,14265,5,0,2,0,0,3,81,8,73,0,1
ILLINOIS,Southern Illinois University:,Southern Illinois University: School of Medicine,0,0,0,0,0,0,0,0,0,0,0,0
ILLINOIS,South Suburban College,South Suburban College main,4205,0,0,0,0,0,0,17,6,11,0,0
ILLINOIS,Southwestern Illinois College,Southwestern Illinois College main,9943,4,0,0,0,2,2,32,2,28,2,0
ILLINOIS,Triton College,Triton College main,11684,1,0,0,0,0,1,32,2,28,2,0
ILLINOIS,University of Chicago,University of Chicago Cook County,15391,14,0,0,0,7,7,215,3,211,1,0
ILLINOIS,University of Illinois: ,University of Illinois:  Springfield,5402,2,0,1,0,0,1,34,4,30,0,0
ILLINOIS,University of Illinois: ,University of Illinois:  Urbana,45842,20,1,11,0,8,0,269,26,234,9,1
ILLINOIS,Western Illinois University,Western Illinois University main,11094,9,0,8,0,0,1,68,3,64,1,1
INDIANA,Ball State University,Ball State University main,21196,7,0,5,0,2,0,237,26,205,6,2
INDIANA,Indiana State University,Indiana State University main,13584,19,0,0,0,1,18,162,2,160,0,0
INDIANA,Indiana University: ,Indiana University:  Bloomington,48514,14,0,9,0,1,4,338,33,300,5,0
INDIANA,Indiana University: ,Indiana University:  Indianapolis,30105,9,0,3,0,2,4,318,21,279,18,1
INDIANA,Indiana University: ,Indiana University:  Northwest,5848,0,0,0,0,0,0,18,2,16,0,0
INDIANA,Indiana University: ,Indiana University:  Southeast,6173,2,0,1,0,0,1,15,3,12,0,1
INDIANA,Marian University,Marian University main,2897,0,0,0,0,0,0,23,1,22,0,0
