state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
IOWA,Iowa State University,Iowa State University main,36350,19,0,9,1,9,225,9,211,5,0
IOWA,University of Iowa,University of Iowa main,32011,25,0,16,1,8,312,24,277,11,1
IOWA,University of Northern Iowa,University of Northern Iowa main,11905,9,0,6,0,3,85,6,78,1,0
KANSAS,Emporia State University,Emporia State University main,5887,0,0,0,0,0,19,3,16,0,0
KANSAS,Garden City Community College,Garden City Community College main,2053,0,0,0,0,0,8,8,0,0,0
KANSAS,Kansas City Kansas Community College,Kansas City Kansas Community College main,5726,0,0,0,0,0,19,2,15,2,0
KANSAS,Kansas State University,Kansas State University main,23779,1,0,1,0,0,116,13,101,2,0
KANSAS,University of Kansas:,University of Kansas: Main Campus,27565,5,0,2,2,1,152,13,138,1,0
KANSAS,University of Kansas:,University of Kansas: Medical Center4,0,17,0,1,2,14,119,0,116,3,0
KANSAS,Washburn University,Washburn University main,6636,3,0,2,1,0,69,2,66,1,1
KANSAS,Wichita State University,Wichita State University main,14166,4,0,1,1,2,74,5,67,2,0
KENTUCKY,Eastern Kentucky University,Eastern Kentucky University main,16881,7,0,5,0,2,185,27,147,11,0
KENTUCKY,Morehead State University,Morehead State University main,10746,3,0,3,0,0,44,3,41,0,0
KENTUCKY,Murray State University,Murray State University main,10486,2,0,2,0,0,72,6,66,0,1
KENTUCKY,Northern Kentucky University,Northern Kentucky University main,14542,4,0,3,0,1,60,0,59,1,0
KENTUCKY,University of Kentucky5,University of Kentucky main,29781,12,0,4,1,7,0,30,0,22,3
KENTUCKY,University of Louisville,University of Louisville main,21578,10,0,0,10,0,316,26,278,12,0
KENTUCKY,Western Kentucky University,Western Kentucky University main,20271,5,0,4,0,1,96,6,88,2,0
LOUISIANA,Delgado Community College,Delgado Community College main,15110,3,0,0,0,3,22,2,20,0,0
LOUISIANA,Dillard University,Dillard University main,1261,1,0,1,0,0,25,9,16,0,0
LOUISIANA,Grambling State University,Grambling State University main,4863,13,2,4,2,5,99,34,62,3,0
LOUISIANA,Louisiana State University: ,Louisiana State University:  Baton Rouge,31409,15,1,4,2,8,287,40,238,9,0
LOUISIANA,Louisiana State University: ,"Louisiana State University:  Health Sciences Center, New Orleans",2758,0,0,0,0,0,0,0,0,0,0
LOUISIANA,Louisiana State University: ,"Louisiana State University:  Health Sciences Center, Shreveport",874,2,0,0,0,2,26,2,24,0,0
LOUISIANA,Louisiana State University: ,Louisiana State University:  Shreveport,4746,2,0,0,1,1,21,15,6,0,0
LOUISIANA,Louisiana Tech University,Louisiana Tech University main,12672,3,0,2,0,1,73,7,66,0,0
LOUISIANA,McNeese State University6,McNeese State University6 main,7621,0,0,0,0,0,20,2,18,0,0
LOUISIANA,Nicholls State University,Nicholls State University main,6255,3,0,0,0,3,24,3,21,0,0
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  Baton Rouge,5877,6,0,0,2,4,113,4,108,1,0
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  New Orleans,2430,0,0,0,0,0,0,0,0,0,0
LOUISIANA,Southern University and A&M College: ,Southern University and A&M College:  Shreveport,3240,1,0,0,0,1,1,1,0,0,0
LOUISIANA,Tulane University,Tulane University main,12581,1,0,0,1,0,214,31,182,1,0
LOUISIANA,University of Louisiana:,University of Louisiana: Lafayette,17519,19,0,3,2,14,202,40,159,3,1
LOUISIANA,University of Louisiana:,University of Louisiana: Monroe,9038,4,0,1,1,2,53,4,49,0,1
LOUISIANA,University of New Orleans,University of New Orleans main,8037,4,0,2,0,2,95,6,89,0,0
MAINE,University of Maine: ,University of Maine:  Farmington,2000,5,0,5,0,0,22,0,22,0,0
MAINE,University of Maine: ,University of Maine:  Orono,11219,10,0,9,0,1,104,7,96,1,1
MAINE,University of Southern Maine,University of Southern Maine main,7855,2,0,1,0,1,21,0,21,0,0
MARYLAND,Bowie State University,Bowie State University main,5669,8,0,0,0,8,39,13,26,0,0
MARYLAND,Coppin State University,Coppin State University main,2939,3,0,0,1,2,38,9,26,3,0
MARYLAND,Frostburg State University,Frostburg State University main,5676,0,0,0,0,0,26,3,23,0,0
MARYLAND,Hagerstown Community College,Hagerstown Community College main,4061,0,0,0,0,0,4,1,3,0,0
MARYLAND,Morgan State University,Morgan State University main,7689,9,0,3,4,2,115,4,111,0,0
MARYLAND,Prince George's County Community College,Prince George's County Community College main,12417,2,0,0,0,2,26,0,26,0,0
MARYLAND,Salisbury University,Salisbury University main,8748,2,0,0,1,1,65,2,63,0,1
MARYLAND,Towson University,Towson University main,22343,5,0,2,1,2,78,1,73,4,1
MARYLAND,University of Baltimore,University of Baltimore main,5983,3,0,0,2,1,25,1,24,0,0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore City,6482,11,0,0,5,6,64,1,59,4,0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore County,13640,1,0,1,0,0,66,9,55,2,0
MARYLAND,University of Maryland: ,University of Maryland:  College Park,39083,14,1,3,3,7,316,20,291,5,0
MARYLAND,University of Maryland: ,University of Maryland:  Eastern Shore,3904,3,0,1,2,0,50,14,36,0,0
MASSACHUSETTS,Amherst College,Amherst College main,1849,16,0,16,0,0,45,13,32,0,0
MASSACHUSETTS,Assumption College,Assumption College main,2607,6,0,3,0,3,16,1,15,0,0
MASSACHUSETTS,Babson College,Babson College main,3165,7,0,6,0,1,39,3,36,0,0
MASSACHUSETTS,Becker College,Becker College main,2189,4,0,1,1,2,12,3,8,1,0
MASSACHUSETTS,Bentley University,Bentley University main,5506,4,0,3,0,1,52,6,45,1,2
MASSACHUSETTS,Boston University,Boston University main,32695,17,0,9,3,5,383,23,358,2,0
MASSACHUSETTS,Brandeis University,Brandeis University main,5729,3,0,1,1,1,35,5,30,0,0
MASSACHUSETTS,Bridgewater State University,Bridgewater State University main,10998,17,0,8,1,8,35,4,31,0,0
MASSACHUSETTS,Bunker Hill Community College,Bunker Hill Community College main,13253,0,0,0,0,0,43,0,43,0,0
MASSACHUSETTS,Clark University,Clark University main,3298,3,0,1,1,1,27,2,24,1,0
MASSACHUSETTS,College of the Holy Cross,College of the Holy Cross main,2720,2,0,0,0,2,20,5,15,0,0
MASSACHUSETTS,Dean College,Dean College main,1339,1,0,0,1,0,26,13,13,0,0
MASSACHUSETTS,Emerson College,Emerson College main,4442,7,0,4,2,1,38,3,35,0,0
MASSACHUSETTS,Endicott College,Endicott College main,4835,5,0,5,0,0,18,0,18,0,0
MASSACHUSETTS,Fitchburg State University,Fitchburg State University main,6763,13,0,6,7,0,15,2,13,0,0
MASSACHUSETTS,Gordon College,Gordon College main,2004,2,0,2,0,0,66,3,63,0,0
MASSACHUSETTS,Hampshire College,Hampshire College main,1321,3,0,2,0,1,36,6,30,0,1
MASSACHUSETTS,Harvard University,Harvard University main,29908,10,0,3,2,5,405,50,348,7,0
MASSACHUSETTS,Massachusetts College of Art,Massachusetts College of Art main,1982,0,0,0,0,0,46,0,46,0,0
