state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
ILLINOIS,University of Chicago,University of Chicago Cook County,18141,25,0,15,10,263,20,242,1,0
ILLINOIS,University of Illinois:,University of Illinois: Springfield,6590,1,0,1,0,27,2,25,0,0
ILLINOIS,University of Illinois:,University of Illinois: Urbana,50885,15,0,2,5,248,8,238,2,0
ILLINOIS,Waubonsee Community College,Waubonsee Community College main,18016,0,0,0,0,9,0,9,0,0
ILLINOIS,Western Illinois University,Western Illinois University main,11951,10,0,1,0,68,4,63,1,0
INDIANA,Ball State University,Ball State University main,26419,13,0,3,1,181,33,141,7,0
INDIANA,Indiana University:,Indiana University: Bloomington,53254,28,0,0,10,386,77,307,2,0
INDIANA,Indiana University:,Indiana University: Indianapolis,34984,15,0,3,3,263,12,245,6,0
INDIANA,Indiana University:,Indiana University: Southeast,7159,1,0,0,0,4,1,3,0,0
INDIANA,Marian University,Marian University main,4042,3,0,0,1,19,2,16,1,0
INDIANA,Purdue University,Purdue University main,44190,2,0,0,2,278,24,252,2,0
IOWA6,Purdue University,Purdue University main,0,0,0,0,0,0,0,0,0,0
KANSAS,Kansas State University,Kansas State University main,25775,0,0,0,0,128,9,118,1,0
KANSAS,Pittsburg State University,Pittsburg State University main,8480,1,0,0,0,39,0,39,0,0
KANSAS,University of Kansas:,University of Kansas: Main Campus,31201,7,0,1,3,155,13,139,3,0
KANSAS,University of Kansas:,University of Kansas: Medical Center4,0,20,0,2,18,187,1,184,2,0
KANSAS,Washburn University,Washburn University main,7702,3,0,0,3,64,2,60,2,1
KENTUCKY,Eastern Kentucky University,Eastern Kentucky University main,19517,6,0,1,0,136,27,104,5,2
KENTUCKY,Murray State University,Murray State University main,11950,4,0,0,1,50,8,42,0,0
KENTUCKY,Northern Kentucky University,Northern Kentucky University main,16475,0,0,0,0,34,3,31,0,0
KENTUCKY,University of Kentucky,University of Kentucky main,31564,12,0,0,5,519,15,485,19,0
KENTUCKY,University of Louisville,University of Louisville main,25091,9,0,4,2,345,24,293,28,0
KENTUCKY,Western Kentucky University,Western Kentucky University main,25038,3,0,1,0,47,11,36,0,0
LOUISIANA,Delgado Community College,Delgado Community College main,21530,5,0,0,5,17,2,15,0,0
LOUISIANA,Grambling State University,Grambling State University main,6941,6,0,0,3,62,15,45,2,0
LOUISIANA,Louisiana State University:,Louisiana State University: Baton Rouge,33801,18,0,5,4,359,40,306,13,0
LOUISIANA,Louisiana State University:,"Louisiana State University: Health Sciences Center, New Orleans",3116,0,0,0,0,0,0,0,0,0
LOUISIANA,Louisiana State University:,"Louisiana State University: Health Sciences Center, Shreveport",1011,5,0,0,5,27,0,25,2,0
LOUISIANA,Louisiana State University:,Louisiana State University: Shreveport,6375,2,0,2,0,20,2,17,1,5
LOUISIANA,Louisiana Tech University,Louisiana Tech University main,14489,1,0,0,0,64,6,56,2,0
LOUISIANA,McNeese State University,McNeese State University main,8689,0,0,0,0,26,4,21,1,0
LOUISIANA,Nicholls State University,Nicholls State University main,7333,1,0,0,1,29,3,26,0,0
LOUISIANA,Southern University and A&M College:,Southern University and A&M College: Baton Rouge,7415,8,0,4,4,112,8,103,1,0
LOUISIANA,Southern University and A&M College:,Southern University and A&M College: New Orleans,3113,0,0,0,0,0,0,0,0,0
LOUISIANA,Southern University and A&M College:,Southern University and A&M College: Shreveport,4654,0,0,0,0,0,0,0,0,0
LOUISIANA,Tulane University,Tulane University main,14066,4,0,1,3,174,22,146,6,0
LOUISIANA,University of Louisiana:,University of Louisiana: Lafayette,19297,11,0,1,10,169,21,144,4,0
LOUISIANA,University of Louisiana:,University of Louisiana: Monroe,10087,2,0,1,0,34,3,30,1,0
LOUISIANA,University of New Orleans7,University of New Orleans7 main,10011,6,0,0,6,0,5,0,4,0
MAINE,University of Maine:,University of Maine: Farmington,2351,2,0,0,0,16,0,15,1,0
MAINE,University of Maine:,University of Maine: Orono,12693,4,0,0,1,95,1,94,0,0
MAINE,University of Southern Maine,University of Southern Maine main,10156,1,0,0,0,8,1,7,0,0
MARYLAND,Bowie State University,Bowie State University main,6570,7,0,2,3,37,9,27,1,0
MARYLAND,Coppin State University,Coppin State University main,3442,4,0,0,2,41,12,29,0,0
MARYLAND,Frostburg State University,Frostburg State University main,6455,4,0,2,0,17,3,14,0,0
MARYLAND,Hagerstown Community College,Hagerstown Community College main,5827,0,0,0,0,0,0,0,0,0
MARYLAND,Morgan State University,Morgan State University main,8522,18,0,12,2,98,8,88,2,0
MARYLAND,Prince George's County Community College,Prince George's County Community College main,17365,4,0,1,3,23,0,23,0,0
MARYLAND,Salisbury University,Salisbury University main,9800,4,0,1,3,66,1,65,0,0
MARYLAND,St. Mary's College,St. Mary's College main,1779,4,0,1,0,55,8,47,0,1
MARYLAND,Towson University,Towson University main,25467,10,0,2,3,58,6,51,1,0
MARYLAND,University of Baltimore,University of Baltimore main,7008,1,0,0,1,17,1,16,0,0
MARYLAND,University of Maryland:,University of Maryland: Baltimore City,7158,20,0,12,8,50,3,43,4,0
MARYLAND,University of Maryland:,University of Maryland: Baltimore County,15700,5,0,3,1,49,1,48,0,0
MARYLAND,University of Maryland:,University of Maryland: College Park,43691,5,0,1,3,203,11,170,22,0
MARYLAND,University of Maryland:,University of Maryland: Eastern Shore,4258,2,0,2,0,32,11,21,0,0
MASSACHUSETTS,Amherst College,Amherst College main,1945,29,0,0,1,36,11,25,0,0
MASSACHUSETTS,Assumption College,Assumption College main,2913,10,0,0,4,22,1,21,0,0
MASSACHUSETTS,Babson College,Babson College main,3726,15,0,0,4,25,3,22,0,0
MASSACHUSETTS,Becker College,Becker College main,2675,1,0,0,1,11,1,9,1,0
MASSACHUSETTS,Bentley University,Bentley University main,5771,7,0,0,2,32,1,31,0,1
MASSACHUSETTS,Boston University,Boston University main,40807,23,0,2,11,425,22,403,0,2
MASSACHUSETTS,Brandeis University,Brandeis University main,6325,1,0,0,1,22,2,20,0,0
MASSACHUSETTS,Bridgewater State University,Bridgewater State University main,13289,19,0,1,9,30,3,26,1,0
MASSACHUSETTS,Bunker Hill Community College,Bunker Hill Community College main,18428,2,0,0,2,21,0,21,0,0
MASSACHUSETTS,Clark University,Clark University main,3524,2,0,1,1,29,1,28,0,0
MASSACHUSETTS,College of the Holy Cross,College of the Holy Cross main,2806,2,0,0,2,24,0,24,0,0
MASSACHUSETTS,Dean College,Dean College main,1568,1,0,1,0,27,13,14,0,0
MASSACHUSETTS,Emerson College,Emerson College main,4774,2,0,0,1,28,2,26,0,0
MASSACHUSETTS,Endicott College,Endicott College main,7103,4,0,0,0,25,2,23,0,0
MASSACHUSETTS,Fitchburg State University,Fitchburg State University main,11434,6,0,0,1,15,0,14,1,0
MASSACHUSETTS,Gordon College,Gordon College main,2465,2,0,0,0,39,0,39,0,0
MASSACHUSETTS,Greenfield Community College,Greenfield Community College main,2582,0,0,0,0,11,11,0,0,0
MASSACHUSETTS,Hampshire College,Hampshire College main,1382,1,0,0,0,25,5,20,0,0
MASSACHUSETTS,Harvard University,Harvard University main,38934,11,0,2,2,413,44,360,9,0
MASSACHUSETTS,Massachusetts Bay Community College,Massachusetts Bay Community College main,7695,0,0,0,0,4,0,4,0,0
MASSACHUSETTS,Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts main,2249,1,0,0,1,5,0,5,0,0
MASSACHUSETTS,Massachusetts Institute of Technology,Massachusetts Institute of Technology main,12144,4,0,0,2,318,23,292,3,0
MASSACHUSETTS,Massasoit Community College,Massasoit Community College main,10613,2,0,0,2,5,1,4,0,0
MASSACHUSETTS,Merrimack College,Merrimack College main,4683,17,0,0,11,31,3,28,0,0
MASSACHUSETTS,Mount Holyoke College,Mount Holyoke College main,2599,0,0,0,0,25,5,20,0,0
MASSACHUSETTS,Northeastern University,Northeastern University main,27486,14,0,1,6,220,8,208,4,0
MASSACHUSETTS,North Shore Community College,North Shore Community College main,8852,0,0,0,0,9,2,7,0,0
MASSACHUSETTS,Quinsigamond Community College,Quinsigamond Community College main,10602,2,0,0,2,11,1,10,0,0
MASSACHUSETTS,Regis College,Regis College main,2192,5,0,1,4,8,0,7,1,0
MASSACHUSETTS,Salem State University,Salem State University main,11057,4,0,0,1,38,6,32,0,0
MASSACHUSETTS,Smith College,Smith College main,3221,2,0,0,1,29,3,26,0,0
MASSACHUSETTS,Springfield College,Springfield College main,3290,1,0,0,1,48,9,38,1,0
MASSACHUSETTS,Springfield Technical Community College,Springfield Technical Community College main,7713,0,0,0,0,21,0,21,0,0
MASSACHUSETTS,Stonehill College,Stonehill College main,2536,14,0,0,11,9,0,9,0,0
MASSACHUSETTS,Tufts University:,Tufts University: Medford,12802,2,0,1,0,41,6,35,0,0
MASSACHUSETTS,Tufts University:,Tufts University: Suffolk4,0,0,0,0,0,17,1,16,0,0
MASSACHUSETTS,Tufts University:,Tufts University: Worcester4,0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,University of Massachusetts:,University of Massachusetts: Amherst,34778,3,0,1,1,175,10,164,1,2
